Date,Location,Zip Code,High Temperature,Low Temperature,Precipitation,Snowfall,Snow Depth
1/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,31,14,0,0,4
1/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,29,20,0,0,4
1/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,26,10,0,0,4
1/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,32,20,0,0,4
1/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,33,23,0.05,0.4,4
1/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,34,31,0.04,0.4,4
1/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,34,22,0.08,1.2,5
1/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,22,-6,0,0,5
1/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,-1,-10,0,0,5
1/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,6,-9,0.02,0.5,5
1/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,3,-7,0,0,5
1/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,23,-7,0.01,0.1,5
1/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,26,16,0,0,5
1/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,23,12,0,0,5
1/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,13,-9,0,0,5
1/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,-3,-14,0,0,5
1/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,2,-13,0,0,5
1/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,7,-7,0,0,5
1/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,22,7,0.02,0.6,5
1/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,24,20,0,0,5
1/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,25,17,0,0,5
1/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,23,18,0,0,5
1/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,30,23,0.01,0.1,5
1/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,30,27,0.05,0.6,5
1/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,28,20,0.01,0.2,6
1/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,40,15,0,0,5
1/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,19,0,0,3
1/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,34,18,0.01,0,3
1/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,30,0.01,0,2
1/31/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,41,27,0,0,1
2/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,36,22,0,0,1
2/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,30,24,0.51,8.8,1
2/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,24,11,0.04,0.6,8
2/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,27,8,0.03,0.3,7
2/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,29,6,0,0,7
2/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,36,25,0,0,6
2/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,40,16,0.02,0.4,5
2/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,17,11,0,0,2
2/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,17,5,0,0,2
2/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,13,3,0,0,2
2/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,17,2,0.01,0.9,2
2/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,15,0,0,0,2
2/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,10,-6,0,0,2
2/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,19,7,0.04,0.7,2
2/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,32,18,0,0,3
2/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,35,21,0,0,2
2/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,29,14,0,0,2
2/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,41,25,0,0,2
2/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,45,35,0.37,0,1
2/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,30,0,0,0
2/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,26,0,0,0
2/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,35,27,0,0,0
2/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,40,33,0.04,0.3,0
2/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,38,30,0,0,0
2/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,35,26,0,0,0
2/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,42,24,0,0,0
2/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,58,34,0,0,0
2/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,28,0.03,0.1,0
